Line,null_1,la_1,a_1,null_2,null_3,MILKCOW_1,MILKCOW_2,CAR_1,CAR_2,le_1,l_1,a_2,e_1,e_2,null_4,null_5,MOTHER_1,MOTHER_2,li_1,i_1,i_2,null_6,null_7,CLOWN_1,CLOWN_2,null_8,null_9,una_1,un_1,null_10,null_11,MOTHER_3,MOTHER_4,POTATO_1,POTATO_2,e_3,null_12,TOWER_1,TOWER_2,lo_1,o_1,o_2,null_13,null_14,CLOWN_3,CLOWN_4,uno_1,null_15,null_16,GRANDPARENT_1,GRANDPARENT_2,HORSE_1,HORSE_2,MOUSE_1,MOUSE_2,WOLF_1,WOLF_2,null_17,HORSE_3,HORSE_4,ANCHOR_1,ANCHOR_2,BALL_1,BALL_2,MOUSE_3,MOUSE_4,OFFSPRING_1,OFFSPRING_2,TOMATO_1,TOMATO_2,BOOK_1,BOOK_2,BOOK_3,BOOK_4,CAT_1,CAT_2,CASTLE_1,CASTLE_2,FROG_1,FROG_2,null_18,FROG_3,FROG_4,null_19,null_20,OFFSPRING_3,OFFSPRING_4,SHIP_1,SHIP_2,CHILD_1,CHILD_2,WHEEL_1,WHEEL_2,WHEEL_3,WHEEL_4,CHILD_3,BALL_3,BALL_4,CAR_3,CAR_4,null_21,FOOT_1,FOOT_2,POTATO_3,POTATO_4,CAT_3,CAT_4,ANCHOR_3,ANCHOR_4,CASTLE_3,CASTLE_4,WOLF_3,WOLF_4,null_22,null_23,KING_1,KING_2,KEY_1,KEY_2,null_24,null_25,TOMATO_3,TOMATO_4,SHELF_1,SHELF_2,OFFSPRING_5,OFFSPRING_6,FLOWER_1,FLOWER_2,null_26,PROBLEM_1,PROBLEM_2,null_27,null_28,CHILD_4,CHILD_5,CHILD_6,FLOWER_3,FLOWER_4,null_29,null_30,KING_3,KING_4,null_31,MILKCOW_3,MILKCOW_4,null_32,KEY_3,KEY_4,TOWER_3,TOWER_4,PIBLING_1,PIBLING_2,SHELF_3,SHELF_4,GRANDPARENT_3,GRANDPARENT_4,EGG_1,EGG_2,PROBLEM_3,PROBLEM_4,FOOT_3,FOOT_4,null_33,PIBLING_3,null_34,null_35,SHIP_3,SHIP_4,JIGSAW_1,JIGSAW_2,OFFSPRING_7,OFFSPRING_8,OFFSPRING_9,GRANDPARENT_5,GRANDPARENT_6,PIBLING_4,PIBLING_5,PIBLING_6,GRANDPARENT_7,GRANDPARENT_8,GRANDPARENT_9,a_3,null_36,EGG_3,EGG_4,null_37,PIBLING_7,PIBLING_8,PIBLING_9,null_38,JIGSAW_3,JIGSAW_4,CHILD_7,CHILD_8,CHILD_9
0,10.5,10.5,10.5,10.0,10.0,10.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11.0,11.0,11.1,10.0,10.0,10.0,10.5,10.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11.5,11.0,11.1,10.0,10.0,10.0,10.5,10.0,10.5,10.5,10.0,10.0,10.0,10.5,10.0,10.0,10.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11.5,11.0,11.1,10.0,10.0,10.0,10.5,10.0,10.5,10.5,10.7,10.1,10.6,11.1,10.5,10.0,10.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12.0,11.0,11.1,10.0,10.0,10.0,10.5,10.0,10.5,10.5,10.899999999999999,10.2,10.6,11.1,10.5,10.0,10.5,10.5,10.5,10.0,10.5,10.0,10.0,10.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12.0,11.5,11.7,10.0,10.0,10.0,10.5,10.5,10.5,10.5,11.199999999999998,10.399999999999999,10.7,11.1,10.5,10.0,10.5,10.5,10.5,10.1,10.5,10.0,10.5,10.5,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12.0,11.5,12.299999999999999,10.0,10.0,10.0,10.5,10.5,10.5,10.5,11.299999999999997,10.999999999999998,10.7,11.1,10.5,10.0,11.0,10.5,10.5,10.1,10.5,10.0,10.5,10.5,10.0,10.0,10.5,10.0,10.5,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,12.0,11.5,12.899999999999999,10.0,10.0,10.0,10.5,10.5,10.5,10.5,12.199999999999996,11.799999999999997,10.799999999999999,11.1,11.0,10.0,11.0,10.5,10.5,10.2,10.5,10.0,10.5,10.5,10.0,10.0,10.5,10.0,10.6,10.0,10.0,10.0,10.0,10.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12.5,11.5,13.499999999999998,10.0,10.0,10.0,11.0,10.5,10.5,10.5,12.299999999999995,11.899999999999997,10.799999999999999,11.1,11.0,10.0,11.0,10.5,10.5,10.2,10.5,10.0,10.5,10.5,10.0,10.0,10.5,10.5,10.799999999999999,10.0,10.0,10.0,10.0,10.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12.5,11.5,13.499999999999998,10.0,10.0,10.0,11.0,10.5,10.5,10.5,12.399999999999995,12.499999999999996,10.799999999999999,11.1,11.0,10.0,11.0,10.5,10.5,10.2,10.5,10.0,10.5,10.5,10.0,10.5,10.5,10.5,11.499999999999998,10.0,10.0,10.0,10.0,10.5,10.0,10.5,10.0,10.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12.5,11.5,13.499999999999998,10.0,10.0,10.0,11.0,10.5,10.5,10.5,13.199999999999994,12.499999999999996,10.899999999999999,11.1,11.0,10.0,11.0,10.5,10.5,10.299999999999999,10.5,10.0,10.5,10.5,10.0,10.5,10.5,10.5,11.499999999999998,10.0,10.0,10.0,10.0,10.5,10.0,10.5,10.0,10.0,10.5,10.0,10.6,10.5,10.5,10.0,10.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12.5,11.5,13.399999999999999,10.0,10.0,10.0,11.0,10.5,10.5,10.5,13.299999999999994,12.399999999999997,10.899999999999999,11.1,11.0,10.0,11.0,10.5,10.5,10.299999999999999,10.5,10.0,10.5,10.5,10.0,10.5,10.5,10.5,11.599999999999998,10.0,9.9,10.0,10.0,10.5,10.0,10.5,10.0,10.0,10.5,10.0,10.7,10.6,10.5,10.0,10.5,10.0,10.0,10.0,10.0,9.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.4,11.4,13.399999999999999,10.0,10.0,10.0,11.0,10.5,10.5,10.5,13.699999999999992,12.399999999999997,10.999999999999998,11.1,11.0,10.0,11.0,10.5,10.5,10.399999999999999,10.5,10.0,10.5,10.5,10.0,10.5,10.5,10.5,11.699999999999998,10.0,9.9,10.0,10.0,10.5,10.0,10.5,10.0,10.0,10.5,10.0,10.999999999999998,10.6,10.5,10.0,10.5,10.0,10.0,10.0,10.0,9.9,10.0,10.0,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12.4,11.4,13.399999999999999,10.0,10.0,10.0,11.0,10.5,10.5,10.5,13.899999999999991,12.499999999999996,10.899999999999999,11.0,11.0,10.0,11.0,10.5,10.5,10.599999999999998,10.6,10.0,10.5,10.5,10.0,10.5,10.4,10.5,11.699999999999998,10.0,9.9,10.0,10.0,10.5,10.0,10.5,10.0,10.0,10.5,10.0,11.099999999999998,10.6,10.5,10.0,10.5,10.0,10.0,10.0,10.0,9.9,10.0,10.0,9.9,9.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12.3,11.4,13.399999999999999,10.0,10.0,10.0,11.0,10.5,10.5,10.5,14.19999999999999,12.399999999999997,10.999999999999998,11.0,11.0,10.0,11.0,10.5,10.5,10.699999999999998,10.6,10.0,10.5,10.4,10.0,10.5,10.4,10.5,11.799999999999997,10.0,9.9,10.0,10.0,10.5,10.0,10.5,10.0,10.0,10.5,10.0,11.399999999999997,10.6,10.5,10.0,10.5,10.0,10.0,10.0,10.0,9.9,10.0,10.0,9.9,9.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12.3,11.3,13.399999999999999,10.0,10.0,10.0,11.0,10.5,10.5,10.5,14.599999999999989,12.399999999999997,11.099999999999998,11.0,10.9,10.0,11.0,10.5,10.5,10.799999999999997,10.6,10.0,10.5,10.4,10.0,10.5,10.4,10.5,11.899999999999997,10.0,9.9,10.0,10.0,10.5,10.0,10.5,10.0,10.0,10.5,10.0,11.699999999999996,10.6,10.5,10.0,10.5,10.0,10.0,10.0,10.0,9.9,10.0,10.0,9.9,9.9,10.0,10.0,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12.3,11.3,13.399999999999999,10.0,10.0,10.0,11.0,10.5,10.5,10.5,14.899999999999988,12.699999999999996,11.199999999999998,11.0,10.9,10.0,11.0,10.5,10.5,10.899999999999997,10.6,10.0,10.4,10.4,10.0,10.5,10.4,10.5,11.999999999999996,10.0,9.9,10.0,10.0,10.5,10.0,10.6,10.0,9.9,10.5,10.0,11.599999999999996,10.5,10.5,10.0,10.5,10.0,10.0,10.0,10.0,9.9,10.0,10.0,9.9,9.9,10.0,10.0,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12.3,11.3,13.399999999999999,10.0,10.0,10.0,11.0,10.5,10.5,10.5,15.699999999999987,12.799999999999995,11.199999999999998,11.0,10.9,10.0,11.0,10.5,10.5,11.599999999999996,11.2,10.5,10.4,10.4,10.0,10.5,10.4,10.5,11.999999999999996,10.0,9.9,10.0,10.0,10.5,10.0,10.6,10.0,9.9,10.5,10.0,11.699999999999996,10.5,10.6,10.1,10.5,10.0,10.0,10.0,10.0,9.9,10.0,10.0,9.9,9.9,10.0,10.0,9.9,10.0,10.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
