Line,le_1,i_1,null_1,null_2,SHIP_1,SHIP_2,lo_1,l_1,e_1,o_1,o_2,null_3,null_4,BOOK_1,BOOK_2,una_1,a_1,null_5,null_6,BALL_1,BALL_2,la_1,a_2,un_1,null_7,null_8,ANCHOR_1,ANCHOR_2,li_1,i_2,null_9,null_10,TOMATO_1,TOMATO_2,POTATO_1,POTATO_2,e_2,null_11,SHIP_3,e_3,null_12,null_13,ANCHOR_3,uno_1,CASTLE_1,CASTLE_2,null_14,KEY_1,KEY_2,null_15,SHELF_1,SHELF_2,MOUSE_1,MOUSE_2,SHELF_3,CASTLE_3,MOUSE_3,FROG_1,FROG_2,POTATO_3,null_16,null_17,null_18,FROG_3,FLOWER_1,FLOWER_2,BALL_3,KEY_3,null_19,null_20,BOOK_3,null_21,null_22,null_23,null_24,TOMATO_3,FLOWER_3,null_25,null_26,null_27,null_28,null_29,null_30
0,10.1,10.1,10.0,10.2,10.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10.1,10.1,10.0,10.2,10.0,10.1,10.0,9.9,10.0,10.0,9.9,10.0,9.9,9.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10.1,10.1,10.0,10.2,10.0,10.1,10.0,9.9,10.0,10.0,9.9,10.0,9.9,9.9,10.0,10.1,10.1,10.0,10.0,10.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10.1,10.1,10.0,10.2,10.0,10.1,10.0,10.2,10.1,10.0,9.9,10.0,9.9,9.9,10.0,10.1,10.2,10.0,10.0,10.0,10.1,10.1,10.1,10.0,10.0,10.0,10.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10.1,10.2,10.0,10.2,10.0,10.1,10.0,10.599999999999998,10.1,10.1,9.9,10.0,9.9,9.9,10.0,10.1,10.2,10.0,10.0,10.0,10.1,10.1,10.2,10.0,10.0,10.0,10.1,10.0,10.0,10.2,10.0,10.2,10.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10.1,10.2,10.0,10.2,10.0,10.1,10.0,10.699999999999998,10.1,10.1,9.9,10.0,9.9,9.9,10.0,10.2,10.299999999999999,10.0,10.0,10.0,10.1,10.1,10.299999999999999,10.2,10.0,10.0,10.1,10.0,10.0,10.2,10.0,10.2,10.0,10.1,10.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10.1,10.2,10.0,10.2,10.0,10.0,10.0,10.999999999999996,10.2,10.0,9.9,9.9,9.9,9.9,10.0,10.2,10.299999999999999,10.0,10.0,10.0,10.1,10.1,10.599999999999998,10.299999999999999,10.0,10.0,10.1,10.0,10.0,10.299999999999999,10.0,10.2,10.0,10.1,10.0,10.1,9.9,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10.1,10.2,10.0,10.2,10.0,10.0,10.0,11.099999999999996,10.2,10.0,9.9,9.9,9.9,9.9,10.0,10.299999999999999,10.399999999999999,10.0,10.0,10.0,10.1,10.1,10.699999999999998,10.499999999999998,10.0,10.0,10.1,10.1,10.0,10.299999999999999,10.0,10.2,10.0,10.1,10.0,10.1,9.9,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10.1,10.2,10.0,10.2,10.0,10.0,10.0,11.299999999999995,10.399999999999999,10.1,9.9,9.9,9.9,9.9,10.0,10.299999999999999,10.399999999999999,10.0,10.0,10.0,10.1,10.1,10.799999999999997,10.499999999999998,10.0,10.0,10.0,10.1,10.0,10.299999999999999,10.0,10.2,10.0,10.1,10.0,10.1,9.9,10.0,10.0,9.9,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10.1,10.2,10.0,10.2,10.0,10.0,10.0,11.399999999999995,10.399999999999999,10.1,9.9,10.0,9.9,9.9,10.0,10.399999999999999,10.499999999999998,10.0,10.0,10.0,10.2,10.1,10.899999999999997,10.699999999999998,10.0,10.0,10.0,10.1,10.0,10.299999999999999,10.0,10.2,10.0,10.1,10.0,10.1,9.9,10.0,10.0,9.9,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
